vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,tablockid,zone
8074,20220720 19:11,41.9425551966617,-87.66875546104029,179,15955,X9,74th,9226,False,10001805,N9  -696,
8043,20220720 19:11,41.879114362928604,-87.66680908203125,179,15955,X9,74th,32459,False,10001802,9 -608,
8095,20220720 19:11,41.87777101993561,-87.66677391529083,183,15955,X9,74th,32958,False,10001803,9 -609,
8221,20220720 19:11,41.80128152029855,-87.6648822239467,179,15955,X9,74th,61821,False,10002347,9 -614,
8093,20220720 19:13,41.79336166381836,-87.66468048095703,166,4658,X9,95th,64652,False,10002346,9 -655,
8025,20220720 19:13,41.73685251871745,-87.66319376627604,179,4658,X9,95th,85378,False,10002345,X9  -612,
8225,20220720 19:13,41.95398639497303,-87.65017591203961,270,8470,X9,Irving Park/Broadway,92860,True,10001762,X9  -655,
8094,20220720 19:13,41.954394691868835,-87.65045045551501,268,8470,X9,Irving Park/Broadway,93030,True,10001763,X9  -654,
8040,20220720 19:13,41.95453988588773,-87.65127871586726,284,8470,X9,Irving Park/Broadway,93319,True,10002429,X9  -653,
8074,20220720 19:13,41.940842925525104,-87.66870955170178,178,15955,X9,74th,9817,False,10001805,N9  -696,
8095,20220720 19:13,41.87538964407785,-87.66674259730748,178,15955,X9,74th,33844,False,10001803,9 -609,
8043,20220720 19:13,41.87538399634423,-87.66674220097529,179,15955,X9,74th,33846,False,10001802,9 -608,
8221,20220720 19:13,41.789922441755024,-87.66459655761719,178,15955,X9,74th,65959,False,10002347,9 -614,
8093,20220720 19:15,41.7868424392328,-87.66431110661205,175,4658,X9,95th,67084,False,10002346,9 -655,
8025,20220720 19:15,41.732492273504086,-87.66302490234375,178,4658,X9,95th,86981,False,10002345,X9  -612,
8225,20220720 19:15,41.95398639497303,-87.65017591203961,270,8470,X9,Irving Park/Broadway,92860,True,10001762,X9  -655,
8094,20220720 19:15,41.954394691868835,-87.65045045551501,268,8470,X9,Irving Park/Broadway,93030,True,10001763,X9  -654,
8040,20220720 19:15,41.954498291015625,-87.65447664260864,264,15955,X9,74th,815,False,10002430,X9  -653,
8074,20220720 19:15,41.93854130178258,-87.66868712936622,178,15955,X9,74th,10668,False,10001805,N9  -696,
8043,20220720 19:15,41.871006556919646,-87.66658891950335,178,15955,X9,74th,35447,False,10001802,9 -608,
8095,20220720 19:15,41.86935551961263,-87.6665553672641,178,15955,X9,74th,36026,False,10001803,9 -609,
8221,20220720 19:15,41.77887138953576,-87.6642338679387,177,15955,X9,74th,70034,False,10002347,9 -614,
8093,20220720 19:17,41.778782453693324,-87.66421158587346,175,4658,X9,95th,70096,False,10002346,9 -655,
8025,20220720 19:17,41.72637939453125,-87.66284942626953,178,4658,X9,95th,89234,False,10002345,X9  -612,
8225,20220720 19:17,41.95398639497303,-87.65017591203961,270,8470,X9,Irving Park/Broadway,92860,True,10001762,X9  -655,
8094,20220720 19:17,41.954394691868835,-87.65045045551501,268,8470,X9,Irving Park/Broadway,93030,True,10001763,X9  -654,
8040,20220720 19:17,41.954342089201276,-87.6651621366802,267,15955,X9,74th,3805,False,10002430,X9  -653,
8074,20220720 19:17,41.932609480254506,-87.66851074841557,180,15955,X9,74th,12846,False,10001805,N9  -696,
8043,20220720 19:17,41.86692428588867,-87.6664810180664,175,15955,X9,74th,36969,False,10001802,9 -608,
8095,20220720 19:17,41.863645765516495,-87.66631034568503,178,15955,X9,74th,38181,False,10001803,9 -609,
8221,20220720 19:17,41.77356820947983,-87.6640396118164,178,15955,X9,74th,71988,False,10002347,9 -614,
8093,20220720 19:19,41.77234850091449,-87.6640396118164,179,4658,X9,95th,72418,False,10002346,9 -655,
8225,20220720 19:19,41.95398639497303,-87.65017591203961,270,8470,X9,Irving Park/Broadway,92860,True,10001762,X9  -655,
8094,20220720 19:19,41.954394691868835,-87.65045045551501,268,8470,X9,Irving Park/Broadway,93030,True,10001763,X9  -654,
8040,20220720 19:19,41.94653496375451,-87.66890261723445,178,15955,X9,74th,7761,False,10002430,X9  -653,
8074,20220720 19:19,41.92620833932537,-87.66828155517578,179,15955,X9,74th,15188,False,10001805,N9  -696,
8043,20220720 19:19,41.85812190662731,-87.66615295410156,181,15955,X9,74th,40212,False,10001802,9 -608,
8095,20220720 19:18,41.85744045091712,-87.66613736359969,178,15955,X9,74th,40517,False,10001803,9 -609,
8221,20220720 19:19,41.765210797709805,-87.66384887695312,174,15955,X9,74th,75066,False,10002347,9 -614,
8093,20220720 19:21,41.7651620680286,-87.66384887695312,177,4658,X9,95th,75084,False,10002346,9 -655,
8225,20220720 19:21,41.95398639497303,-87.65017591203961,270,8470,X9,Irving Park/Broadway,92860,True,10001762,X9  -655,
8094,20220720 19:21,41.954394691868835,-87.65045045551501,268,8470,X9,Irving Park/Broadway,93030,True,10001763,X9  -654,
8040,20220720 19:21,41.9413393364578,-87.66873168945312,173,15955,X9,74th,9646,False,10002430,X9  -653,
8074,20220720 19:21,41.92094955444336,-87.66863784790038,172,15955,X9,74th,17111,False,10001805,N9  -696,
8043,20220720 19:21,41.85467978084789,-87.66606544045841,178,15955,X9,74th,41512,False,10001802,9 -608,
8095,20220720 19:21,41.85247039794922,-87.66606140136719,179,15955,X9,74th,42338,False,10001803,9 -609,
8225,20220720 19:23,41.95398639497303,-87.65017591203961,270,8470,X9,Irving Park/Broadway,92860,True,10001762,X9  -655,
8094,20220720 19:23,41.954394691868835,-87.65045045551501,268,8470,X9,Irving Park/Broadway,93030,True,10001763,X9  -654,
8040,20220720 19:23,41.940391540527344,-87.66873168945312,181,15955,X9,74th,9989,False,10002430,X9  -653,
8074,20220720 19:23,41.91619110107422,-87.66789508688039,183,15955,X9,74th,18814,False,10001805,N9  -696,
8043,20220720 19:23,41.84539701117844,-87.6659927368164,179,15955,X9,74th,44878,False,10001802,9 -608,
8095,20220720 19:23,41.841692874306126,-87.6659164428711,179,15955,X9,74th,46224,False,10001803,9 -609,
8093,20220720 19:25,41.759178161621094,-87.6637191772461,180,4658,X9,95th,77239,False,10002346,9 -655,
8225,20220720 19:25,41.95398639497303,-87.65017591203961,270,8470,X9,Irving Park/Broadway,92860,True,10001762,X9  -655,
8094,20220720 19:25,41.954505920410156,-87.65354919433594,269,15955,X9,74th,517,False,10001806,X9  -654,
8040,20220720 19:25,41.93883978802225,-87.66869354248047,182,15955,X9,74th,10559,False,10002430,X9  -653,
8074,20220720 19:25,41.91064208984375,-87.66779449462891,179,15955,X9,74th,20874,False,10001805,N9  -696,
8043,20220720 19:25,41.839301109313965,-87.6659164428711,173,15955,X9,74th,47101,False,10001802,9 -608,
8095,20220720 19:25,41.83895263671875,-87.66559295654297,234,15955,X9,74th,47988,False,10001803,9 -609,
8093,20220720 19:27,41.75349502563476,-87.66358947753906,177,4658,X9,95th,79299,False,10002346,9 -655,
8225,20220720 19:27,41.954423804032174,-87.65047053286904,269,8470,X9,Irving Park/Broadway,93041,False,10001762,X9  -655,
8094,20220720 19:27,41.954368591308594,-87.66219345404177,268,15955,X9,74th,2973,False,10001806,X9  -654,
8040,20220720 19:27,41.93156499038508,-87.66845703125,180,15955,X9,74th,13236,False,10002430,X9  -653,
8074,20220720 19:27,41.9043794111772,-87.66761779785156,180,15955,X9,74th,23182,False,10001805,N9  -696,
8043,20220720 19:27,41.83897361755371,-87.66555099487304,244,15955,X9,74th,47974,False,10001802,9 -608,
8095,20220720 19:27,41.83909606933594,-87.66535949707031,231,15955,X9,74th,47988,False,10001803,9 -609,
8093,20220720 19:29,41.750341796875,-87.66354370117188,181,4658,X9,95th,80449,False,10002346,9 -655,
8225,20220720 19:29,41.954423804032174,-87.65047053286904,269,8470,X9,Irving Park/Broadway,93041,False,10001762,X9  -655,
8094,20220720 19:29,41.95134960237097,-87.66902448310226,178,15955,X9,74th,5994,False,10001806,X9  -654,
8040,20220720 19:29,41.92444183086527,-87.66822052001953,177,15955,X9,74th,15823,False,10002430,X9  -653,
8074,20220720 19:29,41.90346908569336,-87.66751861572266,179,15955,X9,74th,23489,False,10001805,N9  -696,
8043,20220720 19:28,41.83894109725952,-87.66561603546143,244,15955,X9,74th,47996,False,10001802,9 -608,
8095,20220720 19:29,41.83457460403442,-87.66574096679688,179,15955,X9,74th,49615,False,10001803,9 -609,
8093,20220720 19:31,41.7436137544936,-87.66337132108384,180,4658,X9,95th,82933,False,10002346,9 -655,
8225,20220720 19:31,41.954423804032174,-87.65047053286904,269,8470,X9,Irving Park/Broadway,93041,False,10001762,X9  -655,
8094,20220720 19:31,41.946490466594696,-87.6688973903656,173,15955,X9,74th,7762,False,10001806,X9  -654,
8040,20220720 19:31,41.920058727264404,-87.6684889793396,172,15955,X9,74th,17445,False,10002430,X9  -653,
8074,20220720 19:31,41.896772146224976,-87.6673903465271,178,15955,X9,74th,25978,False,10001805,N9  -696,
8043,20220720 19:31,41.8270359992981,-87.66556720733642,178,15955,X9,74th,52372,False,10001802,9 -608,
8095,20220720 19:31,41.8268310546875,-87.66556053161621,179,15955,X9,74th,52447,False,10001803,9 -609,
8093,20220720 19:33,41.73600387573242,-87.66317263516513,182,4658,X9,95th,85686,False,10002346,9 -655,
8225,20220720 19:33,41.954423804032174,-87.65047053286904,269,8470,X9,Irving Park/Broadway,93041,False,10001762,X9  -655,
8094,20220720 19:33,41.941871643066406,-87.66873168945312,178,15955,X9,74th,9466,False,10001806,X9  -654,
8040,20220720 19:33,41.91322637285505,-87.66783109392439,178,15955,X9,74th,19963,False,10002430,X9  -653,
8074,20220720 19:33,41.89154748355641,-87.66725158691406,178,15955,X9,74th,27907,False,10001805,N9  -696,
8043,20220720 19:33,41.815795707702634,-87.66524505615234,177,15955,X9,74th,56480,False,10001802,9 -608,
8095,20220720 19:33,41.815743160247806,-87.66524505615234,177,15955,X9,74th,56500,False,10001803,9 -609,
8093,20220720 19:35,41.73522142504083,-87.66311345334913,177,4658,X9,95th,85991,False,10002346,9 -655,
8225,20220720 19:35,41.954423804032174,-87.65047053286904,269,8470,X9,Irving Park/Broadway,93041,True,10001762,X9  -655,
8094,20220720 19:35,41.94084567711001,-87.66870967677382,178,15955,X9,74th,9816,False,10001806,X9  -654,
